scan	0
take_potato_from	1
make_out_pepper_On	2
should_try	3
take	4
seems	5
can_see_knife_On	6
decide	7
shelf	8
can_see_onion_On	9
eat	10
see_oil_on	11
see	12
everything_in	13
can_see_pepper_On	14
make_out_potato_On	15
is	16
've_entered	17
're_in	18
start	19
can_see_oil_On	20
've_moved_into	21
bump	22
take_oil_from	23
make_out_purple_potato_On	24
need	25
chop	26
lean_against	27
make_out_carrot_On	28
fridge	29
put_onion_on	30
make_out	31
drop	32
can_make_out_onion_On	33
prevent	34
put_knife_on	35
can_make_out	36
can_see	37
are_in	38
examine	39
exit_without	40
see_in	41
can_make_out_apple_On	42
diced	43
put	44
take_cookbook_from	45
should_have_stuff_on	46
just_list_off_list	47
can_make_out_pork_chop_On	48
came_up_for	49
were_in	50
can_see_cookbook_On	51
stove	52
cook_onion_with	53
're_looking_for	54
tie	55
hits	56
notice	57
chop_bell_pepper_with	58
appears	59
chop_pepper_with	60
say	61
Suddenly_bump	62
burned	63
burned_potato_on	64
been	65
put_oil_on	66
chop_potato_with	67
table	68
contains	69
just_list_off	70
am	71
cook	72
cook_bell_pepper_with	73
make_out_apple_On	74
can_see_bell_pepper_On	75
can_make_out_oil_On	76
cook_pork_chop_with	77
seeing	78
counter	79
can_see_On	80
has	81
take_pork_chop_from	82
is_in	83
is_on	84
make_out_onion_On	85
came_up_with	86
is_with	87
take_onion_from	88
looks	89
pressing	90
should_have	91
inadvertently_pressing	92
reveal	93
list_off_list	94
make_out_pork_chop_On	95
arrive_in	96
make_out_bell_pepper_On	97
list_off	98
cook_potato_with	99
think	100
make_out_cookbook_On	101
cook_pepper_with	102
would	103
make_out_knife_On	104
put_apple_on	105
